driverId,week,hours-logged,miles-logged
54,11,57,2700
92,51,50,2200
63,21,54,2600
28,41,75,2800
65,36,55,1700
33,40,71,400
59,25,71,1600
72,45,59,3500
48,30,69,0
40,5,74,1300
22,21,75,3000
69,37,57,3500
59,8,58,1500
43,11,57,1300
47,10,59,3300
39,30,72,3800
40,8,75,3100
30,30,56,1100
78,10,53,3000
25,15,63,1800
37,26,76,4000
74,4,64,1400
57,43,68,0
30,37,56,600
51,13,79,2800
29,28,73,2800
80,19,71,100
38,23,59,200
43,3,55,2000
77,38,75,1400
88,49,71,3300
71,6,65,3100
57,37,61,2400
29,30,75,1900
76,31,65,2800
11,12,66,3500
57,44,79,1000
102,26,57,800
74,31,55,2600
83,10,66,3700
96,28,68,100
50,7,71,900
16,26,55,500
95,20,55,2400
51,17,80,3100
38,52,66,400
43,34,65,700
92,23,80,1200
20,38,68,1800
21,23,56,1100
38,48,51,900
46,1,66,4000
92,22,64,2700
18,19,69,3500
40,10,73,1000
50,43,75,3600
100,8,66,0
82,44,50,3200
51,34,69,1200
72,12,66,1500
63,36,58,500
30,16,58,400
29,52,53,700
84,51,80,800
65,32,70,1500
34,9,51,1500
102,24,59,600
56,48,63,3800
14,35,69,1300
43,36,73,500
106,8,54,2100
108,4,60,2000
102,15,50,1300
106,10,61,3200
70,40,77,2100
81,20,71,3600
94,45,72,3800
34,48,61,3200
11,17,53,2800
77,39,50,0
96,11,78,1700
51,52,77,2700
85,30,52,2800
96,29,66,3500
63,38,54,0
24,24,78,3500
75,18,54,3200
94,9,58,0
17,26,77,3700
103,38,57,1700
45,15,59,3500
30,1,76,2700
86,51,80,900
15,49,55,1900
21,22,52,0
33,42,80,500
103,49,70,100
78,6,64,0
16,19,67,800
29,48,52,200
40,46,56,1500
87,50,65,1000
44,13,50,1900
88,44,71,600
52,16,65,1100
48,45,71,2200
75,44,66,100
94,47,65,1400
31,3,61,2900
32,23,70,300
24,43,74,600
40,16,55,1800
24,11,56,3200
57,39,55,200
13,24,53,1500
62,37,69,3200
75,15,57,300
83,6,77,3600
51,6,57,1800
62,12,62,2300
55,17,55,2800
77,29,75,1700
36,21,58,0
67,29,52,0
96,3,69,2100
40,32,70,1200
49,35,62,1300
77,51,51,3100
70,5,64,1300
20,40,60,1600
86,30,50,1200
75,10,80,1700
38,31,51,3700
13,41,68,1800
41,27,68,700
12,49,63,500
88,51,66,1800
100,41,72,1200
63,11,63,1200
21,5,77,1100
76,11,78,2700
96,25,65,100
69,5,56,2600
14,27,75,2200
27,2,58,3000
56,51,79,2500
